Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M10;412.034
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M09;421.031
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M08;592.019
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M07;467.361
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M06;380.567
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M05;372.994
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M04;379.235
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M03;373.073
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M02;376.869
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en España;2025M01;302.654
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;93.394
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;85.474
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;78.410
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;62.717
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;64.824
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;66.309
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;102.147
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;135.053
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;141.932
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;131.038
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;120.537
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;129.486
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;93.511
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;83.420
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;65.652
Total Nacional;02 Aragón;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;61.636
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2026M04;68.259
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2026M03;82.652
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2026M02;76.154
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2026M01;69.960
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M12;68.500
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M11;41.861
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M10;72.162
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M09;93.724
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M08;144.467
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M07;119.758
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M06;92.737
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M05;69.214
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M04;64.134
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M03;70.394
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M02;86.028
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;;2025M01;67.834
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2026M04;57.254
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2026M03;74.484
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2026M02;68.556
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2026M01;64.587
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M12;62.046
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M11;36.730
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M10;60.020
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M09;70.189
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M08;118.847
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M07;95.587
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M06;70.842
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M05;50.161
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M04;53.598
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M03;63.403
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M02;79.185
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en España;2025M01;62.721
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2026M04;11.005
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2026M03;8.168
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2026M02;7.598
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2026M01;5.373
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M12;6.454
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M11;5.131
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M10;12.142
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M09;23.535
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M08;25.620
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M07;24.171
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M06;21.895
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M05;19.052
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M04;10.536
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M03;6.991
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M02;6.843
Total Nacional;02 Aragón;22 Huesca;Viajero;Total;Residentes en el Extranjero;2025M01;5.113
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2026M04;139.640
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2026M03;198.892
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2026M02;197.242
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2026M01;184.811
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M12;149.237
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M11;84.339
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M10;151.978
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M09;196.246
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M08;346.801
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M07;268.472
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M06;173.336
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M05;136.621
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M04;129.549
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M03;165.194
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M02;208.603
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;;2025M01;166.858
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2026M04;116.945
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2026M03;180.113
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2026M02;174.441
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2026M01;170.622
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M12;133.346
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M11;72.369
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M10;125.476
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M09;148.839
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M08;296.264
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M07;222.399
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M06;135.738
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M05;97.443
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M04;108.552
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M03;148.642
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M02;191.700
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en España;2025M01;152.632
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;22.695
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;18.779
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;22.800
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;14.189
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;15.890
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;11.970
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;26.502
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;47.406
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;50.537
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;46.073
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;37.597
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;39.177
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;20.996
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;16.552
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;16.903
Total Nacional;02 Aragón;22 Huesca;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;14.226
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2026M04;42.595
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2026M03;34.708
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2026M02;29.296
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2026M01;23.803
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M12;29.849
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M11;33.898
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M10;47.206
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M09;47.231
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M08;57.857
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M07;39.576
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M06;38.777
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M05;41.108
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M04;43.107
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M03;31.361
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M02;29.110
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;;2025M01;22.408
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2026M04;36.899
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2026M03;30.181
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2026M02;26.194
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2026M01;20.972
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M12;27.132
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M11;30.149
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M10;40.647
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M09;39.616
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M08;52.496
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M07;34.163
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M06;32.452
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M05;33.957
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M04;37.912
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M03;27.308
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M02;26.229
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en España;2025M01;19.789
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2026M04;5.696
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2026M03;4.527
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2026M02;3.102
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2026M01;2.832
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M12;2.717
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M11;3.749
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M10;6.559
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M09;7.615
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M08;5.361
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M07;5.413
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M06;6.325
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M05;7.151
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M04;5.195
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M03;4.053
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M02;2.882
Total Nacional;02 Aragón;44 Teruel;Viajero;Total;Residentes en el Extranjero;2025M01;2.619
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2026M04;86.030
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2026M03;72.348
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2026M02;56.213
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2026M01;47.311
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M12;60.012
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M11;67.345
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M10;95.283
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M09;93.444
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M08;114.595
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M07;83.510
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M06;84.455
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M05;88.882
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M04;88.157
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M03;66.181
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M02;58.406
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;;2025M01;45.608
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2026M04;72.510
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2026M03;59.878
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2026M02;46.994
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2026M01;38.097
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M12;50.074
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M11;58.762
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M10;82.587
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M09;78.626
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M08;105.228
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M07;69.203
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M06;67.973
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M05;71.330
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M04;74.412
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M03;52.895
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M02;49.544
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en España;2025M01;36.185
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;13.521
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;12.469
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;9.218
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;9.214
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;9.938
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;8.583
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;12.696
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;14.818
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;9.367
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;14.307
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;16.483
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;17.552
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;13.745
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;13.286
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;8.862
Total Nacional;02 Aragón;44 Teruel;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;9.423
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2026M04;144.682
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2026M03;124.804
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2026M02;103.759
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2026M01;92.560
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M12;118.924
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M11;125.033
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M10;150.345
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M09;149.217
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M08;165.683
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M07;140.545
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M06;134.893
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M05;153.210
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M04;142.502
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M03;124.042
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M02;103.207
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;;2025M01;91.042
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2026M04;112.391
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2026M03;96.440
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2026M02;79.675
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2026M01;70.562
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M12;95.521
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M11;100.129
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M10;113.784
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M09;108.772
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M08;114.157
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M07;99.363
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M06;99.161
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M05;112.130
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M04;108.977
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M03;95.801
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M02;80.125
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en España;2025M01;67.641
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2026M04;32.291
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2026M03;28.364
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2026M02;24.084
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2026M01;21.998
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M12;23.403
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M11;24.904
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M10;36.560
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M09;40.445
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M08;51.527
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M07;41.182
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M06;35.732
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M05;41.080
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M04;33.525
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M03;28.241
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M02;23.082
Total Nacional;02 Aragón;50 Zaragoza;Viajero;Total;Residentes en el Extranjero;2025M01;23.401
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2026M04;252.831
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2026M03;226.471
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2026M02;184.939
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2026M01;169.650
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M12;197.676
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M11;230.011
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M10;266.920
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M09;266.395
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M08;272.555
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M07;246.417
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M06;243.313
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M05;276.977
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M04;255.041
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M03;225.118
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M02;175.513
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;;2025M01;151.824
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2026M04;195.653
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2026M03;172.245
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2026M02;138.548
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2026M01;130.336
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M12;158.681
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M11;184.255
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M10;203.971
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M09;193.566
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M08;190.528
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M07;175.759
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M06;176.856
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M05;204.221
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M04;196.271
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M03;171.536
Total Nacional;02 Aragón;50 Zaragoza;Pernoctaciones;Total;Residentes en España;2025M02;135.626
