Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;24.715.105
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;27.517.185
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;30.962.964
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;29.796.067
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;26.790.929
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;24.674.795
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;18.856.145
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;14.315.812
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;11.819.917
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;11.126.796
Total Nacional;01 Andalucía;;Viajero;Total;;2026M04;1.931.623
Total Nacional;01 Andalucía;;Viajero;Total;;2026M03;1.560.614
Total Nacional;01 Andalucía;;Viajero;Total;;2026M02;1.171.881
Total Nacional;01 Andalucía;;Viajero;Total;;2026M01;1.025.466
Total Nacional;01 Andalucía;;Viajero;Total;;2025M12;1.196.892
Total Nacional;01 Andalucía;;Viajero;Total;;2025M11;1.306.347
Total Nacional;01 Andalucía;;Viajero;Total;;2025M10;1.903.645
Total Nacional;01 Andalucía;;Viajero;Total;;2025M09;2.055.612
Total Nacional;01 Andalucía;;Viajero;Total;;2025M08;2.287.040
Total Nacional;01 Andalucía;;Viajero;Total;;2025M07;2.118.987
Total Nacional;01 Andalucía;;Viajero;Total;;2025M06;2.052.030
Total Nacional;01 Andalucía;;Viajero;Total;;2025M05;2.026.477
Total Nacional;01 Andalucía;;Viajero;Total;;2025M04;1.860.719
Total Nacional;01 Andalucía;;Viajero;Total;;2025M03;1.397.666
Total Nacional;01 Andalucía;;Viajero;Total;;2025M02;1.189.519
Total Nacional;01 Andalucía;;Viajero;Total;;2025M01;995.404
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2026M04;930.756
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2026M03;787.339
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2026M02;614.920
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2026M01;538.799
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M12;685.108
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M11;685.893
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M10;843.852
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M09;1.021.623
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M08;1.333.873
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M07;1.221.977
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M06;1.099.444
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M05;955.855
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M04;865.459
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M03;693.640
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M02;676.294
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M01;537.216
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2026M04;1.000.868
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2026M03;773.275
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2026M02;556.961
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2026M01;486.667
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M12;511.783
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M11;620.454
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M10;1.059.793
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M09;1.033.989
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M08;953.167
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M07;897.011
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M06;952.587
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M05;1.070.622
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M04;995.260
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M03;704.026
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M02;513.225
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M01;458.188
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M04;5.229.176
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M03;4.036.015
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M02;2.833.842
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M01;2.485.158
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M12;2.693.046
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M11;3.145.703
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M10;5.250.858
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M09;6.176.273
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M08;7.586.225
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M07;6.857.986
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M06;6.009.338
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M05;5.582.983
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M04;5.013.182
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M03;3.689.956
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M02;2.887.855
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M01;2.298.453
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2026M04;2.145.842
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2026M03;1.682.802
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2026M02;1.197.050
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2026M01;1.042.918
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M12;1.309.357
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M11;1.311.490
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M10;1.703.330
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M09;2.624.618
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M08;4.125.912
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M07;3.636.198
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M06;2.645.739
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M05;2.210.388
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M04;2.021.339
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M03;1.504.607
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M02;1.311.157
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M01;998.142
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;3.083.334
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;2.353.214
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;1.636.792
